id,neighborhood,latitude,longitude,price,size_in_sqft,price_per_sqft,no_of_bedrooms,no_of_bathrooms,quality,maid_room,unfurnished,balcony,barbecue_area,built_in_wardrobes,central_ac,childrens_play_area,childrens_pool,concierge,covered_parking,kitchen_appliances,lobby_in_building,maid_service,networked,pets_allowed,private_garden,private_gym,private_jacuzzi,private_pool,security,shared_gym,shared_pool,shared_spa,study,vastu_compliant,view_of_landmark,view_of_water,walk_in_closet,distance_to_burj_khalifa,distance_to_burj_al_arab,distance_to_dubai_frame,distance_to_dubai_marina,distance_to_museum_of_the_future,distance_to_dubai_creek,distance_to_palm_jumeirah,distance_to_jbr
6954492,Dubai Marina,25.075017000000003,55.137997,2625000,1786,1469.76,3,4,Low,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,19.316392749584807,8.758975092705853,24.12245789367974,0.1247506449878336,19.67150504173681,27.150435578146375,4.167932341118921,0.5649918414109395
6956778,Dubai Creek Harbour (The Lagoons),25.204631,55.343457,1270000,900,1411.11,1,2,Medium,0,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,6.996884020732814,17.43196864129325,6.0156636567562884,25.195417153829055,7.309919930102876,6.065836199515457,23.068029328859996,24.987190884208513
6987144,Dubai Creek Harbour (The Lagoons),25.206345,55.345142,1398000,1168,1196.92,1,2,Low,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7.189677673615931,17.664291910952514,6.037463671390137,25.443197080321013,7.481340828586522,5.9593654216270355,23.30468184704987,25.233989242668518
6992975,Dubai Marina,25.074439,55.133386,1795000,1002,1791.42,1,2,Medium,0,0,1,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,19.693573846957772,9.070904248599877,24.47918294444556,0.4399576940879155,20.036299670063446,27.513051931550216,4.258729047100098,0.7124696349040498
6993708,Old Town,25.190275,55.278378,1600000,1221,1310.4,2,3,Low,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8678381310659418,10.86146123322487,5.594164113055276,19.04920428556004,1.786030585711166,8.341575486375982,16.557349184460275,18.79337955099838
7015600,Palm Jumeirah,25.114333,55.13750600000001,1050000,549,1912.57,0,1,Low,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,16.575397072661204,5.643795605530366,21.074634652605262,4.262448488110251,16.76804045296024,24.144979000770572,0.21241346501566657,3.818143083898882
7017139,Greens,25.091487,55.172015,1150000,1133,1015.0,2,2,Low,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.63282673628063,5.691146571146745,20.530610816356067,3.888161676829898,16.050637336675674,23.52149586433948,4.1378332247536,3.7599118897948225
7018490,City Walk,25.200221,55.264588,1800000,1191,1511.34,1,2,Medium,0,1,1,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1.0428038392874877,10.34776141566075,5.2659781049929135,18.833817356469154,0.8061376769299426,8.276911390994169,16.03795561373674,18.54478854494468
7019863,Al Furjan,25.02985,55.15156,1349999,1861,725.42,3,4,Medium,0,1,1,0,1,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,22.343713236528256,12.842090331574905,27.34019045753213,5.3261958436649355,22.859650960778833,30.253570495084304,9.289710988242314,5.768643268730555
7020315,Dubai Creek Harbour (The Lagoons),25.20573,55.34511,1800000,1582,1137.8,2,3,Low,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.177151239521577,17.6334965608472,6.074869276139664,25.401695846955068,7.4768826745018515,6.020184284154364,23.27130519628001,25.193344569321106
